,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),Season
154,155,20,"""The Relationship Diremption""",Mark Cendrowski,Story by : Steven Molaro & Bill Prady & Jim ReynoldsTeleplay by : Chuck Lorre & Eric Kaplan & Steve Holland,2014-04-10,4X5321,16.4,7
155,156,21,"""The Anything Can Happen Recurrence""",Mark Cendrowski,Story by : Steven Molaro & Eric Kaplan & Adam FabermanTeleplay by : Jim Reynolds & Steve Holland & Tara Hernandez,2014-04-24,4x5322,16.4,7
156,157,22,"""The Proton Transmogrification""",Mark Cendrowski,Story by : Jim Reynolds & Maria Ferrari & Jeremy HoweTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,2014-05-01,4X5317[170],16.0,7
157,158,23,"""The Gorilla Dissolution""",Peter Chakos,Story by : Chuck Lorre & Jim Reynolds & Jeremy HoweTeleplay by : Steven Molaro & Steve Holland & Eric Kaplan,2014-05-08,4x5323,14.4,7
158,159,24,"""The Status Quo Combustion""",Mark Cendrowski,Story by : Eric Kaplan & Jim Reynolds & Jeremy HoweTeleplay by : Steven Molaro & Steve Holland & Tara Hernandez,2014-05-15,4X5324,16.7,7
159,160,1,"""The Locomotion Interruption""",Mark Cendrowski,Story by : Jim Reynolds & Maria Ferrari & Tara HernandezTeleplay by : Steven Molaro & Steve Holland & Eric Kaplan,2014-09-22,4X6751,18.0,8
160,161,2,"""The Junior Professor Solution""",Mark Cendrowski,Story by : Steven Molaro & Eric Kaplan & Steve HollandTeleplay by : Jim Reynolds & Maria Ferrari & Tara Hernandez,2014-09-22,4X6752,18.3,8
161,162,3,"""The First Pitch Insufficiency""",Mark Cendrowski,Story by : Chuck Lorre & Jim Reynolds & Anthony Del BroccoloTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,2014-09-29,4X6753,18.4,8
162,163,4,"""The Hook-Up Reverberation""",Mark Cendrowski,Story by : Steve Holland & Maria Ferrari & Tara HernandezTeleplay by : Steven Molaro & Eric Kaplan & Jim Reynolds,2014-10-06,4X6754,17.9,8
163,164,5,"""The Focus Attenuation""",Mark Cendrowski,Story by : Jim Reynolds & Maria Ferrari & Adam FabermanTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,2014-10-13,4X6755,17.6,8
164,165,6,"""The Expedition Approximation""",Mark Cendrowski,Story by : Steven Molaro & Dave Goetsch & Tara HernandezTeleplay by : Jim Reynolds & Steve Holland & Maria Ferrari,2014-10-20,4X6756,18.0,8
165,166,7,"""The Misinterpretation Agitation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,2014-10-30,4X6758,18.2,8
166,167,8,"""The Prom Equivalency""",Mark Cendrowski,Story by : Jim Reynolds & Steve Holland & Jeremy HoweTeleplay by : Steven Molaro & Eric Kaplan & Maria Ferrari,2014-11-06,4X6757,18.5,8
